,Woningtype,Perioden,Regio's,Te koop staande woningen/Vraagprijsklasse/Totaal (aantal),Te koop staande woningen/Vraagprijsklasse/50.000 tot 150.000 euro (aantal),Te koop staande woningen/Vraagprijsklasse/150.000 tot 200.000 euro (aantal),Te koop staande woningen/Vraagprijsklasse/200.000 tot 250.000 euro (aantal),Te koop staande woningen/Vraagprijsklasse/250.000 tot 350.000 euro (aantal),Te koop staande woningen/Vraagprijsklasse/Vraagprijs onbekend (aantal),Te koop staande woningen/Gebruiksoppervlakte/Totaal (aantal),Te koop staande woningen/Gebruiksoppervlakte/50 tot 75 m² (aantal),Te koop staande woningen/Gebruiksoppervlakte/75 tot 100 m² (aantal),Te koop staande woningen/Gebruiksoppervlakte/100 tot 150 m² (aantal),Te koop staande woningen/Gebruiksoppervlakte/150 tot 250 m² (aantal),Te koop staande woningen/Gebruiksoppervlakte/Gebruiksoppervlakte onbekend (aantal),Te koop staande woningen/Gem. aanbodtijd per vraagprijsklasse/Totaal (maanden),Te koop staande woningen/Gem. aanbodtijd per vraagprijsklasse/50.000 tot 150.000 euro (maanden),Te koop staande woningen/Gem. aanbodtijd per vraagprijsklasse/150.000 tot 200.000 euro (maanden),Te koop staande woningen/Gem. aanbodtijd per vraagprijsklasse/200.000 tot 250.000 euro (maanden),Te koop staande woningen/Gem. aanbodtijd per vraagprijsklasse/250.000 tot 350.000 euro (maanden),Te koop staande woningen/Gem. vraagprijs per opp. klasse/Totaal (euro),Te koop staande woningen/Gem. vraagprijs per opp. klasse/50 tot 75 m² (euro),Te koop staande woningen/Gem. vraagprijs per opp. klasse/75 tot 100 m² (euro),Te koop staande woningen/Gem. vraagprijs per opp. klasse/100 tot 150 m² (euro),Te koop staande woningen/Gem. vraagprijs per opp. klasse/150 tot 250 m² (euro),Te koop staande woningen/Gem. vraagprijs per opp. klasse/250 tot 500 m² (euro),Te koop staande woningen/Gem. vraagprijs per  m² (euro/m²),"Nieuw in verkoop, gem. vraagprijs per m² (euro/m²)",Woningen uit verkoop/Uit verkoop (aantal),Woningen uit verkoop/Gemiddelde aanbodtijd (maanden),Woningen uit verkoop/Gem. vraagprijs per m² (euro/m²)
0,"Eengezinswoning""",2014 4e kwartaal,Overijssel (PV),9600,1300,2300,1600,2100,100.0,9600,200,1400,4200,2800,200,19,17,17,17,21,287000,163000,169000,228000,365000,572000.0,1910,1830,2500,13,1810
1,Eengezinswoning,2015 1e kwartaal,Overijssel (PV),9900,1300,2400,1600,2200,100.0,9900,300,1500,4400,2800,200,18,16,15,16,19,284000,161000,169000,226000,361000,561000.0,1890,1800,2600,13,1750
2,Eengezinswoning,2015 2e kwartaal,Overijssel (PV),9900,1300,2400,1600,2100,100.0,9900,300,1400,4300,2900,300,18,16,15,16,19,285000,158000,169000,225000,364000,569000.0,1890,1830,2900,11,1770
3,Eengezinswoning,2015 3e kwartaal,Overijssel (PV),10100,1300,2500,1700,2200,100.0,10100,300,1500,4500,2900,300,17,16,15,16,19,285000,157000,170000,225000,365000,575000.0,1900,1830,2700,11,1750
4,Eengezinswoning,2015 4e kwartaal,Overijssel (PV),9600,1200,2400,1600,2100,100.0,9600,200,1400,4300,2800,300,18,17,15,16,19,284000,158000,171000,224000,362000,571000.0,1890,1800,3000,10,1770
5,Eengezinswoning,2016 1e kwartaal,Overijssel (PV),9400,1200,2400,1600,2000,100.0,9400,200,1300,4200,2700,200,17,17,15,15,19,284000,154000,171000,222000,362000,567000.0,1880,1830,2700,12,1790
6,Eengezinswoning,2016 2e kwartaal,Overijssel (PV),8000,900,2000,1300,1700,100.0,8000,200,1100,3500,2400,200,17,19,15,14,18,294000,156000,173000,227000,369000,580000.0,1910,1910,3600,12,1800
7,Eengezinswoning,2016 3e kwartaal,Overijssel (PV),8100,900,2000,1300,1700,100.0,8100,200,1100,3600,2400,200,16,17,13,14,16,296000,163000,174000,225000,372000,579000.0,1910,1870,2600,11,1810
8,Eengezinswoning,2016 4e kwartaal,Overijssel (PV),7500,800,1800,1300,1600,100.0,7500,100,1000,3400,2200,200,15,17,13,12,16,301000,164000,175000,226000,374000,584000.0,1920,1900,3900,9,1830
9,Meergezinswoning,2014 4e kwartaal,Overijssel (PV),2000,1000,400,200,200,,2000,600,700,400,100,200,21,21,21,20,23,185000,124000,157000,247000,364000,,1940,2020,400,14,1910
10,Meergezinswoning,2015 1e kwartaal,Overijssel (PV),1900,1000,400,200,200,,1900,600,700,400,100,200,21,21,20,21,22,185000,123000,156000,247000,381000,,1930,1940,600,13,1840
11,Meergezinswoning,2015 2e kwartaal,Overijssel (PV),2000,1000,400,200,200,,2000,600,600,400,100,200,20,21,18,21,23,184000,121000,153000,245000,368000,,1910,1990,500,14,1890
12,Meergezinswoning,2015 3e kwartaal,Overijssel (PV),2000,1000,400,200,200,,2000,600,700,400,100,200,20,20,17,18,21,186000,123000,154000,247000,374000,,1920,1990,500,13,1840
13,Meergezinswoning,2015 4e kwartaal,Overijssel (PV),1800,900,300,200,200,,1800,600,600,300,100,200,21,22,19,19,21,186000,122000,154000,249000,367000,,1920,1960,600,12,1830
14,Meergezinswoning,2016 1e kwartaal,Overijssel (PV),1700,900,300,200,200,,1700,500,600,300,200,100,21,22,18,18,23,189000,125000,156000,250000,374000,,1940,2080,500,13,1870
15,Meergezinswoning,2016 2e kwartaal,Overijssel (PV),1300,600,200,100,100,,1300,400,400,200,100,100,22,24,19,18,21,198000,127000,159000,255000,380000,,1980,2060,700,15,1880
16,Meergezinswoning,2016 3e kwartaal,Overijssel (PV),1300,600,200,100,100,,1300,400,400,200,100,100,20,23,16,17,18,196000,130000,159000,255000,372000,,1980,2060,500,14,1910
17,Meergezinswoning,2016 4e kwartaal,Overijssel (PV),1100,500,200,100,100,,1100,300,300,200,100,100,19,22,17,15,18,214000,133000,163000,262000,388000,,2030,2140,700,14,1950
