"Woningtype","Perioden","Regio's","Te koop staande woningen (aantal)"
"Totaal","2013 februari","Overijssel (PV)",12600
"Totaal","2013 maart","Overijssel (PV)",13100
"Totaal","2013 april","Overijssel (PV)",13000
"Totaal","2013 mei","Overijssel (PV)",13000
"Totaal","2013 juni","Overijssel (PV)",13100
"Totaal","2013 juli","Overijssel (PV)",12900
"Totaal","2013 augustus","Overijssel (PV)",12800
"Totaal","2013 september","Overijssel (PV)",13000
"Totaal","2013 oktober","Overijssel (PV)",12700
"Totaal","2013 november","Overijssel (PV)",12400
"Totaal","2013 december","Overijssel (PV)",11900
"Totaal","2014 januari","Overijssel (PV)",11900
"Totaal","2014 februari","Overijssel (PV)",12000
"Totaal","2014 maart","Overijssel (PV)",11800
"Totaal","2014 april","Overijssel (PV)",11900
"Totaal","2014 mei","Overijssel (PV)",12000
"Totaal","2014 juni","Overijssel (PV)",12300
"Totaal","2014 juli","Overijssel (PV)",11900
"Totaal","2014 augustus","Overijssel (PV)",12000
"Totaal","2014 september","Overijssel (PV)",11800
"Totaal","2014 oktober","Overijssel (PV)",12000
"Totaal","2014 november","Overijssel (PV)",12000
"Totaal","2014 december","Overijssel (PV)",11600
"Totaal","2015 januari","Overijssel (PV)",11400
"Totaal","2015 februari","Overijssel (PV)",11800
"Totaal","2015 maart","Overijssel (PV)",11800
"Totaal","2015 april","Overijssel (PV)",12300
"Totaal","2015 mei","Overijssel (PV)",12300
"Totaal","2015 juni","Overijssel (PV)",11900
"Totaal","2015 juli","Overijssel (PV)",12200
"Totaal","2015 augustus","Overijssel (PV)",11800
"Totaal","2015 september","Overijssel (PV)",12100
"Totaal","2015 oktober","Overijssel (PV)",11900
"Totaal","2015 november","Overijssel (PV)",11300
"Totaal","2015 december","Overijssel (PV)",11400
"Totaal","2016 januari","Overijssel (PV)",10900
"Totaal","2016 februari","Overijssel (PV)",10900
"Totaal","2016 maart","Overijssel (PV)",10400
"Totaal","2016 april","Overijssel (PV)",10200
"Totaal","2016 mei","Overijssel (PV)",9200
"Totaal","2016 juni","Overijssel (PV)",9300
"Totaal","2016 juli","Overijssel (PV)",8600
"Totaal","2016 augustus","Overijssel (PV)",8300
"Totaal","2016 september","Overijssel (PV)",9400
"Totaal","2016 oktober","Overijssel (PV)",8900
"Totaal","2016 november","Overijssel (PV)",9000
"Totaal","2016 december","Overijssel (PV)",8600
"Eengezinswoning","2013 februari","Overijssel (PV)",10400
"Eengezinswoning","2013 maart","Overijssel (PV)",10800
"Eengezinswoning","2013 april","Overijssel (PV)",10800
"Eengezinswoning","2013 mei","Overijssel (PV)",10800
"Eengezinswoning","2013 juni","Overijssel (PV)",10900
"Eengezinswoning","2013 juli","Overijssel (PV)",10700
"Eengezinswoning","2013 augustus","Overijssel (PV)",10700
"Eengezinswoning","2013 september","Overijssel (PV)",10800
"Eengezinswoning","2013 oktober","Overijssel (PV)",10600
"Eengezinswoning","2013 november","Overijssel (PV)",10300
"Eengezinswoning","2013 december","Overijssel (PV)",9900
"Eengezinswoning","2014 januari","Overijssel (PV)",9900
"Eengezinswoning","2014 februari","Overijssel (PV)",10000
"Eengezinswoning","2014 maart","Overijssel (PV)",9800
"Eengezinswoning","2014 april","Overijssel (PV)",9900
"Eengezinswoning","2014 mei","Overijssel (PV)",10000
"Eengezinswoning","2014 juni","Overijssel (PV)",10200
"Eengezinswoning","2014 juli","Overijssel (PV)",9900
"Eengezinswoning","2014 augustus","Overijssel (PV)",10000
"Eengezinswoning","2014 september","Overijssel (PV)",9800
"Eengezinswoning","2014 oktober","Overijssel (PV)",10000
"Eengezinswoning","2014 november","Overijssel (PV)",10000
"Eengezinswoning","2014 december","Overijssel (PV)",9600
"Eengezinswoning","2015 januari","Overijssel (PV)",9500
"Eengezinswoning","2015 februari","Overijssel (PV)",9800
"Eengezinswoning","2015 maart","Overijssel (PV)",9900
"Eengezinswoning","2015 april","Overijssel (PV)",10300
"Eengezinswoning","2015 mei","Overijssel (PV)",10300
"Eengezinswoning","2015 juni","Overijssel (PV)",9900
"Eengezinswoning","2015 juli","Overijssel (PV)",10200
"Eengezinswoning","2015 augustus","Overijssel (PV)",9800
"Eengezinswoning","2015 september","Overijssel (PV)",10100
"Eengezinswoning","2015 oktober","Overijssel (PV)",10000
"Eengezinswoning","2015 november","Overijssel (PV)",9500
"Eengezinswoning","2015 december","Overijssel (PV)",9600
"Eengezinswoning","2016 januari","Overijssel (PV)",9200
"Eengezinswoning","2016 februari","Overijssel (PV)",9200
"Eengezinswoning","2016 maart","Overijssel (PV)",8800
"Eengezinswoning","2016 april","Overijssel (PV)",8700
"Eengezinswoning","2016 mei","Overijssel (PV)",7800
"Eengezinswoning","2016 juni","Overijssel (PV)",8000
"Eengezinswoning","2016 juli","Overijssel (PV)",7400
"Eengezinswoning","2016 augustus","Overijssel (PV)",7200
"Eengezinswoning","2016 september","Overijssel (PV)",8100
"Eengezinswoning","2016 oktober","Overijssel (PV)",7800
"Eengezinswoning","2016 november","Overijssel (PV)",7800
"Eengezinswoning","2016 december","Overijssel (PV)",7500
"Meergezinswoning","2013 februari","Overijssel (PV)",2200
"Meergezinswoning","2013 maart","Overijssel (PV)",2300
"Meergezinswoning","2013 april","Overijssel (PV)",2200
"Meergezinswoning","2013 mei","Overijssel (PV)",2200
"Meergezinswoning","2013 juni","Overijssel (PV)",2200
"Meergezinswoning","2013 juli","Overijssel (PV)",2200
"Meergezinswoning","2013 augustus","Overijssel (PV)",2100
"Meergezinswoning","2013 september","Overijssel (PV)",2200
"Meergezinswoning","2013 oktober","Overijssel (PV)",2100
"Meergezinswoning","2013 november","Overijssel (PV)",2100
"Meergezinswoning","2013 december","Overijssel (PV)",2000
"Meergezinswoning","2014 januari","Overijssel (PV)",2000
"Meergezinswoning","2014 februari","Overijssel (PV)",2000
"Meergezinswoning","2014 maart","Overijssel (PV)",2000
"Meergezinswoning","2014 april","Overijssel (PV)",2000
"Meergezinswoning","2014 mei","Overijssel (PV)",2000
"Meergezinswoning","2014 juni","Overijssel (PV)",2100
"Meergezinswoning","2014 juli","Overijssel (PV)",2000
"Meergezinswoning","2014 augustus","Overijssel (PV)",2000
"Meergezinswoning","2014 september","Overijssel (PV)",2000
"Meergezinswoning","2014 oktober","Overijssel (PV)",2000
"Meergezinswoning","2014 november","Overijssel (PV)",2000
"Meergezinswoning","2014 december","Overijssel (PV)",2000
"Meergezinswoning","2015 januari","Overijssel (PV)",1900
"Meergezinswoning","2015 februari","Overijssel (PV)",2000
"Meergezinswoning","2015 maart","Overijssel (PV)",1900
"Meergezinswoning","2015 april","Overijssel (PV)",2000
"Meergezinswoning","2015 mei","Overijssel (PV)",2000
"Meergezinswoning","2015 juni","Overijssel (PV)",2000
"Meergezinswoning","2015 juli","Overijssel (PV)",2000
"Meergezinswoning","2015 augustus","Overijssel (PV)",2000
"Meergezinswoning","2015 september","Overijssel (PV)",2000
"Meergezinswoning","2015 oktober","Overijssel (PV)",1900
"Meergezinswoning","2015 november","Overijssel (PV)",1800
"Meergezinswoning","2015 december","Overijssel (PV)",1800
"Meergezinswoning","2016 januari","Overijssel (PV)",1700
"Meergezinswoning","2016 februari","Overijssel (PV)",1700
"Meergezinswoning","2016 maart","Overijssel (PV)",1600
"Meergezinswoning","2016 april","Overijssel (PV)",1500
"Meergezinswoning","2016 mei","Overijssel (PV)",1400
"Meergezinswoning","2016 juni","Overijssel (PV)",1300
"Meergezinswoning","2016 juli","Overijssel (PV)",1200
"Meergezinswoning","2016 augustus","Overijssel (PV)",1100
"Meergezinswoning","2016 september","Overijssel (PV)",1300
"Meergezinswoning","2016 oktober","Overijssel (PV)",1100
"Meergezinswoning","2016 november","Overijssel (PV)",1200
"Meergezinswoning","2016 december","Overijssel (PV)",1100
